"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"AMC 8","Econ","In-Person","USA","National","2026-01-15","The AMC 8 is the premier middle school mathematics competition in the United States, serving as the foundational entry point for the elite Olympiad pipeline. It is prestigious for its ability to identify mathematical talent early through non-routine problems that emphasize creative application over rote memorization. Success here is a key indicator for future performance in high-stakes high school contests like the AMC 10 and 12.","25 multiple-choice questions in 40 minutes; No calculators allowed.","Grade 8 or below; Under 14.5 years of age on competition day.","1. Contact school math coordinator. 2. Register via the MAA AMC portal. 3. Pay the registration fee by the Late Deadline.","math|middle-school|MAA|logic","https://maa.org/amcreg/","https://maa.org/student-programs/amc/"
"AIME I","Econ","In-Person","USA","National","2026-02-05","The American Invitational Mathematics Examination (AIME) is the high-stakes filter used to select the nation's top mathematical thinkers for the USAMO. It is prestigious due to its difficulty, where every answer is an integer between 0 and 999, making guessing statistically impossible. For many elite students, achieving a high AIME score is a primary goal in their academic career.","15 short-answer questions in 3 hours; No partial credit.","Qualification via top 2.5% of AMC 10 or top 5% of AMC 12.","1. Qualify through AMC 10/12. 2. Receive invitation from MAA. 3. Take exam at registered test center.","math|high-school|invitational|USA-Olympiad","https://maa.org/amcreg/","https://maa.org/student-programs/amc/"
"HMMT February","Econ","In-Person","Global","International","2026-01-20","The Harvard-MIT Mathematics Tournament is widely considered one of the most intellectually demanding and prestigious math tournaments globally for high schoolers. Organized by students at Harvard and MIT, it draws 1,000 top competitors to tackle problems that exceed the difficulty of national standardized exams. Winning here is a definitive signal of elite mathematical proficiency to top-tier university admissions.","Individual Subject Tests (50 min) -> Team Round (60 min) -> Guts Round (80 min live speed round).","High school students; Teams of 6-8.","1. Enter the lottery in the preceding autumn. 2. Confirm waitlist status in January. 3. Submit final rosters and waivers.","math|Harvard|MIT|team|elite","https://hmmt.org/","https://hmmt.org/"
"Stanford Math Tournament (SMT)","Econ","Hybrid","USA","National","2026-03-21","The Stanford Math Tournament is a prestigious student-run event that brings together the best young mathematicians from across the United States. It is interesting for its 'Power Round,' which challenges teams to solve proof-based problems centered on a single advanced mathematical topic. The event provides a unique window into the collegiate mathematical culture at Stanford.","Individual Subject Tests -> Power Round (80-min proof) -> Guts Round -> Team Round.","High school students; Teams of up to 8.","1. Register online during the January window. 2. Choose between In-person or Online tracks. 3. Pay team registration fee.","math|Stanford|team|proof|high-school","https://www.stanfordmathtournament.org/","https://www.stanfordmathtournament.org/"
"Caltech Math Meet (CMM)","Econ","In-Person","USA","National","2026-01-15","The Caltech Math Meet is a high-intensity event designed to test the limits of mathematical problem-solving speed and depth. It is prestigious for its inclusion of an 'Integration Bee' and a team-based 'Power Round' that is often completed virtually before the campus finale. Participating in this meet offers students a chance to engage with the world-class STEM community in Pasadena.","Power Round (Asynchronous) -> Individual Round -> Integration Bee -> Team Round.","High school students; Teams of 6.","1. Register team via official portal. 2. Complete asynchronous Power Round. 3. Attend in-person finale at Caltech.","math|Caltech|integration-bee|team","https://www.caltechmathmeet.org/","https://www.caltechmathmeet.org/"
"Regeneron Science Talent Search (STS)","Econ","Online","USA","National","2025-11-01","Often referred to as the 'Junior Nobel Prize,' the Regeneron STS is the nation's oldest and most prestigious science research competition for high school seniors. It recognizes students who demonstrate exceptional promise in scientific research through original, independent experimentation and data analysis. Finalists travel to Washington D.C. to present their work to world-renowned scientists and compete for million-dollar awards.","Application Review -> Top 300 Scholar Selection -> Top 40 Finalist Selection -> Finals Week in D.C.","High school seniors in the US or US citizens abroad.","1. Complete independent research project. 2. Submit application with research report. 3. Provide recommendations and transcripts.","science|research|STEM|prestigious|senior","https://www.societyforscience.org/sts/","https://www.societyforscience.org/sts/"
"Regeneron ISEF (Finals)","Econ","In-Person","Global","International","2026-04-01","The Regeneron International Science and Engineering Fair is the largest and most prestigious pre-collegiate science fair in the world. It provides a global stage for more than 1,700 students to showcase their independent research and compete for nearly $9 million in prizes. Winning at ISEF is a transformative achievement that often leads to significant university scholarships and international recognition.","Qualify at Regional/State Fair -> Global Finals (Poster Defense and Judging).","Grades 9-12; Qualification via affiliated regional or state fair.","1. Win top prize at local affiliated fair. 2. Receive advancement invitation. 3. Prepare final presentation for Phoenix 2026.","science|ISEF|research|fair|global","https://www.societyforscience.org/isef/","https://www.societyforscience.org/isef/"
"F=ma Exam","Econ","Online","USA","National","2026-01-20","The F=ma exam is the critical first step in selecting the U.S. Physics Team to compete at the International Physics Olympiad. It is prestigious for its singular focus on classical mechanics, requiring students to solve complex problems using only algebra and trigonometry. As an online-only competition in 2026, it tests the purest form of physics intuition under strict time constraints.","75-minute exam; 25 multiple-choice questions focusing on classical mechanics.","High school students; US Citizens or Legal Residents.","1. School registers via AAPT. 2. Verify technical proctoring infrastructure. 3. Administer exam during designated window.","physics|olympiad|mechanics|AAPT","https://aapt.org/physicsteam/2026/","https://aapt.org/physicsteam/2026/"
"USA Biolympiad (USABO) Open Exam","Econ","Online","USA","National","2026-01-01","The USABO is the premier biology competition for high schoolers in the United States, aiming to identify the four students who represent the nation internationally. It is prestigious for testing knowledge across the entire spectrum of biological sciences at a level far exceeding standard AP curricula. The Open Exam is the massive first round that filters for the top 10% of biological minds in the country.","50-minute online multiple-choice exam.","High school students; US Citizens or Legal Residents.","1. Register with a local test center or school. 2. Complete CEE registration. 3. Take proctored exam on February 4.","biology|CEE|olympiad|high-school","https://www.usabo-trc.org/","https://www.usabo-trc.org/"
"Math Kangaroo","Econ","Hybrid","Global","International","2026-02-01","With over 6 million participants worldwide, Math Kangaroo is the most extensive and accessible international math competition in existence. It is interesting for its focus on logical reasoning and approachable, visual problems that foster a love for mathematics in younger students. The competition's global reach allows students to see their performance compared to peers from dozens of countries.","One round: 75-minute multiple-choice test (24-30 questions).","Grades 1-12.","1. Register online by February 1. 2. Choose a local test center or online option. 3. Attend competition on March 19.","math|logic|international|accessible","https://mathkangaroo.org/","https://mathkangaroo.org/"
