title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Science Olympiad National Tournament","Econ","In-Person","USA","National","May 22, 2026","The Science Olympiad National Tournament is the absolute pinnacle of team-based STEM competition in the U.S., hosted in 2026 at a premier research university. It is prestigious for gathering the top 120 teams out of nearly 8,000 nationwide to compete in 23 high-stakes events. Winning a national medal is a career-defining achievement that signals elite proficiency across engineering, biology, and physical sciences.","23 competitive events (Lab, Build, and Study) held over two days.","Top 1-2 qualifying teams from each state tournament.","1. Win your state's Science Olympiad championship in March/April. 2. Register your team for the national tournament via the SOINC portal. 3. Travel to the national host site for the May finals.","science|SciOly|national-finals|team|engineering","https://www.soinc.org/","https://www.soinc.org/"
"New York State Science Olympiad (Division C)","Econ","In-Person","USA","State","April 2026","The New York State Science Olympiad is widely regarded as one of the most competitive state tournaments in the nation, often held at Le Moyne College. It is prestigious for its high-density of elite 'Tier 1' teams from Long Island and Westchester. Only the top two teams advance to the national stage, making every second of the 23-event schedule critical for success.","23 STEM events ranging from 'Robot Tour' to 'Forensics'.","Regional winners from New York State (High School).","1. Place in the top tier at an NY regional tournament in February. 2. Verify state-level roster and registration. 3. Compete at the state finals in Syracuse.","science|SciOly|NewYork|team|state-championship","https://newyorkscioly.org/","https://newyorkscioly.org/"
"California State Science Olympiad (SoCal)","Econ","In-Person","USA","State","April 2026","The Southern California State Science Olympiad is a legendary 'powerhouse' tournament featuring many of the nation's perennial national champions. It is prestigious for its extreme difficulty and its association with Caltech, providing a world-class environment for scientific inquiry. Winning here is often considered harder than winning at the national level in other states.","Full day of 23 science and engineering events.","Regional winners from Southern California (MS and HS).","1. Win at a SoCal regional tournament (e.g., San Diego, Orange County). 2. Register for the state finals via the SoCal SciOly portal. 3. Compete at the host university in April.","science|SciOly|California|SoCal|engineering","https://www.socalscioly.org/","https://www.socalscioly.org/"
"Pennsylvania Science Olympiad State Finals","Econ","In-Person","USA","State","April 2026","The Pennsylvania State Science Olympiad, held at Juniata College, is a premier showcase for the state's best STEM teams. It is prestigious for its rigorous 'build' event inspections and the high quality of its laboratory events, overseen by university professors. The state consistently produces top-ten national contenders, making this a high-stakes championship.","A 23-event circuit covering all major STEM disciplines.","Qualifiers from Pennsylvania regional tournaments.","1. Place as a top team at a PA regional site in March. 2. Complete state registration and payment. 3. Compete at Juniata College for the state title.","science|SciOly|Pennsylvania|team|state-finals","https://www.pascioly.org/","https://www.pascioly.org/"
"Illinois Science Olympiad State Tournament","Econ","In-Person","USA","State","April 20, 2026","The Illinois State Science Olympiad is a high-prestige event held at the University of Illinois Urbana-Champaign (UIUC). it is interesting for its deep integration with the university's engineering departments, giving students access to elite facilities for their competitive events. Winning the Illinois state title is a definitive mark of academic and technical excellence.","23 competitive events including 'Bridge', 'Flight', and 'Chemistry Lab'.","Qualifying teams from Illinois regional sites.","1. Advance through an Illinois regional tournament in February or March. 2. Submit state registration forms by April. 3. Compete at UIUC for the national qualification spot.","science|SciOly|Illinois|UIUC|engineering","https://www.illinoisolympiad.org/","https://www.illinoisolympiad.org/"
"VEX Robotics Middle School World Championship","Econ","In-Person","Global","International","April 21, 2026","The VEX Middle School Worlds in St. Louis is the largest and most prestigious robotics gathering for younger engineers on the planet. it is interesting for its focus on 'STEM Research' and the collaborative alliance system that creates an international community of problem solvers. Winning at this level demonstrates exceptional early promise in mechanical design and autonomous coding.","Qualifying Rounds -> Division Finals -> Dome Finals in St. Louis.","Middle school teams qualifying via state/regional championships.","1. Qualify through a V5RC middle school regional event. 2. Register via the RobotEvents portal. 3. Travel to St. Louis for the world finals.","robotics|VEX|middle-school|engineering|global","https://recf.org/vex_worlds/","https://recf.org/vex_worlds/"
"FIRST Championship (Houston)","Econ","In-Person","USA","International","April 2026","The FIRST Championship is a massive 'festival of STEM' that brings together thousands of students for the world finals of FRC and FTC. It is prestigious for its high-energy, 'stadium-style' matches and the heavy presence of major tech sponsors and university recruiters. For many roboticists, 'making it to Houston' is the ultimate goal of their high school engineering career.","Multi-day tournament featuring FRC, FTC, and FLL championship divisions.","Teams qualifying via FIRST regional and district championships.","1. Win at a FIRST regional or district championship in March/April. 2. Finalize team travel and logistics for Houston. 3. Compete in the world-class arena.","robotics|FIRST|FRC|FTC|Houston","https://www.firstinspires.org/","https://www.firstinspires.org/"
"VEX IQ Robotics World Championship","Econ","In-Person","Global","International","May 2026","The VEX IQ World Championship is the premier international robotics event for elementary and middle school students using the snap-together IQ platform. it is prestigious for fostering 'teamwork challenges' where two different teams must work together to score points, emphasizing collaboration over pure competition. It is the world's largest event for young roboticists, held in St. Louis in 2026.","Teamwork Challenge Rounds -> Individual Skills Challenges -> Finals.","Elementary and Middle School IQ teams qualifying from regional events.","1. Qualify at a VEX IQ state or regional championship. 2. Register the team for Worlds via the RECF portal. 3. Compete in St. Louis in early May.","robotics|VEX-IQ|elementary|middle-school|global","https://recf.org/vex_worlds/","https://recf.org/vex_worlds/"
"Conrad Challenge Innovation Summit","Econ","In-Person","Global","International","April 23, 2026","The Conrad Innovation Summit at Space Center Houston is the final stage for the world's most innovative high school entrepreneurs and engineers. it is prestigious for its 'Power Pitch' format, where students present to a panel of 'judges' from NASA, Dell, and other major tech firms. Finalists gain access to a network of venture capitalists and may even receive support for patenting their inventions.","3-day summit featuring 'Power Pitches' and technical demonstrations.","Top finalist teams from the Conrad Challenge Phase 3.","1. Advance through the Innovation Brief and Video rounds in Jan/Feb. 2. Receive an invitation to the Innovation Summit. 3. Present your project in person at Space Center Houston.","engineering|entrepreneurship|NASA|innovation|Conrad","https://www.conradchallenge.org/","https://www.conradchallenge.org/"
"Summer Science Program (SSP) Application","Econ","Online","Global","International","February 6, 2026","While a summer program, the SSP application process is an elite competition in itself, selecting students for one of the world's most prestigious research experiences. it is interesting for its focus on 'real-world' astrophysics, biochemistry, or genomics research, where students collect data that is actually used by professional scientists. Acceptance to SSP is a major indicator of high-level scientific and mathematical capability.","Comprehensive application including transcripts, test scores, and multiple essays.","High school juniors (and some sophomores) globally.","1. Visit the SSP website to open an application. 2. Submit all essays and academic data by the Feb 6 deadline. 3. Await the mid-March decision.","science|research|SSP|astrophysics|biochemistry","https://summerscience.org/","https://summerscience.org/"
