"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"USACO January Contest","Coding","Online","USA/Global","Adv","2026-01-09","First contest of the calendar year. Critical for promotion.","4-Hour Exam","Open to all","Register at usaco.org","C++, Java, Python|Algo","https://usaco.org","https://usaco.org"
"DreamVenture","Coding","In-Person","Cambridge, MA","Beg/Int","2026-01-10","Entrepreneurship & Tech hackathon at Microsoft NERD.","12-Hour Hack","High School","Register online","Innovation, Startup|Hack","https://dreamventure.cloud","https://dreamventure.cloud"
"Valley Hacks","Coding","In-Person","Newark, CA","Beg/Int","2026-01-10","Bay Area student hackathon. Networking focus.","12-Hour Hack","High School","Register online","Web, App, AI|Hack","https://valleyhacks.org","https://valleyhacks.org"
"JourneyHacks","Coding","In-Person","Burnaby, BC","Int","2026-01-10","Hosted at SFU. Focus on sustainability themes.","24-Hour Hack","HS Students","Register via site","Canada, GreenTech|Hack","https://journeyhacks.sfusurge.com","https://journeyhacks.sfusurge.com"
"Robofest Kickoff III","Coding","Hybrid","Southfield, MI","All","2026-01-10","Final rules published for 2026 World Championship.","Workshop","Registered Teams","Via Coach","Autonomous, LEGO|Robotics","https://robofest.net","https://robofest.net"
"Oxford Computing Challenge","Coding","Online","UK","Adv","2026-01-12","Invite-only for top Bebras performers.","1-Hour Exam","Invite Only","Through School","Python, Logic|Algo","https://bebras.uk","https://bebras.uk"
"Missouri Cyber Challenge","Coding","Online","USA (MO)","Int","2026-01-13","Round 1 of the state CTF.","CTF","Missouri HS","Through School","CTF, Defense|Security","https://more.net","https://more.net"
"MITRE eCTF Start","Coding","Online","Global","Adv","2026-01-14","Competition begins. Design secure embedded system.","Semester-Long","HS/College","Team Reg","Embedded, C|Security","https://mitre.org","https://mitre.org"
"Coolest Projects","Coding","Online","Global","All","2026-01-14","Registration opens for global showcase.","Project Show","Age <18","Submit Project","Creative, Scratch|Make","https://coolestprojects.org","https://coolestprojects.org"
"OMI (Mexico) State Quals","Coding","Hybrid","Mexico","Adv","2026-01-16","State selection exams (e.g., Aguascalientes).","Exam","Mexico HS","State Delegate","C++, Logic|Algo","https://omiags.org","https://omiags.org"
