title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
AIMO (Asia International Mathematical Olympiad),Math,Hybrid,Asia,International,2026-03-01,"AIMO is a highly prestigious annual math competition for students across Asia, known for its emphasis on arithmetic, algebra, and creative logic. It is interesting because it brings together thousands of top students to compete in a standardized environment that mirrors the difficulty of national Olympiads. Winning an award here provides significant leverage for students applying to elite universities in the Asia-Pacific region.",Preliminary Round -> National Round -> International Final (Individual and Team written rounds).,Students aged 6-18 across participating Asian countries.,1. Register through a certified local or national AIMO partner. 2. Pass the preliminary round. 3. Advance to the International Finals in August.,math|AIMO|Asia|logic|olympiad,https://www.aimo.hk/,https://www.aimo.hk/
WIMO (World International Mathematical Olympiad),Math,Online,Global,International,2025-12-01,"WIMO is an elite 'all-star' math Olympiad where only gold medalists from other major international competitions are invited to compete. It is prestigious because it serves as a final proving ground for the world's most talented young mathematicians, focusing on high-level number theory and geometry. The competition is designed to foster global collaboration among top-tier STEM talent.",One final round: 120-minute proctored written exam consisting of 30 problems.,"Gold medalists from competitions like HKIMO, TIMO, or BBB.",1. Achieve a gold medal in a qualifying local/international Olympiad. 2. Receive an official invitation. 3. Register for the WIMO final via the official portal.,math|WIMO|elite|global|olympiad,https://www.wimo-official.com/,https://www.wimo-official.com/
Caribou Contests,Math,Online,Global,International,2026-01-01,"The Caribou Math Contest is a unique, year-round international competition that features six interactive online tests per year. It is interesting for its 'Caribou Cup' ranking system and its focus on making math fun through interactive puzzles and logical challenges. It is a prestigious platform for students to maintain a high level of mathematical engagement throughout the entire academic cycle.",Six interactive 60-minute online contests per academic year.,Grades K-12 globally.,1. Create an account on the Caribou portal. 2. Pay for a yearly pass or individual contest. 3. Participate in the scheduled monthly windows.,math|logic|interactive|Caribou|global,https://cariboutests.com/,https://cariboutests.com/
Global Mathematics Elite Competition (GMEC),Math,Online,Global,International,2026-03-01,"GMEC is a premier international math contest organized by SMO Testing to identify elite mathematical talent across borders. It is prestigious for its rigorous problem sets that challenge students on combinatorics, algebra, and advanced logic. The competition provides students with global percentile rankings that are highly valued by competitive university admissions committees.","Preliminary National Round -> Global Final (Written, 90 minutes).",Primary and Secondary students globally.,1. Register via a national SMO Testing center. 2. Pass the qualifying national round. 3. Compete in the online Global Final in the spring.,math|GMEC|international|logic|elite,https://www.smotesting.com/,https://www.smotesting.com/
NRICH Live Maths Problems,Math,Online,Global,International,Rolling,"NRICH, a project of the University of Cambridge, offers prestigious open-ended math challenges that focus on reasoning and creative problem-solving. It is interesting because it encourages students to submit their solutions for publication on the NRICH website, providing global visibility for their mathematical thinking. Success here demonstrates a student's ability to tackle deep, non-routine theoretical problems.",Monthly release of open-ended problems -> Solution submission -> Public feature of best solutions.,All ages globally (Primary and Secondary focus).,1. Visit the NRICH 'Live Problems' section. 2. Work on the current month's challenge. 3. Submit your reasoning and solution via the web form.,math|Cambridge|logic|reasoning|publication,https://nrich.maths.org/,https://nrich.maths.org/
British Biology Olympiad (BBO),Science,In-Person,UK,National,2026-01-01,"The BBO is the United Kingdom's flagship biology competition for secondary students, serving as the first round of selection for the International Biology Olympiad team. It is prestigious for its association with the Royal Society of Biology and its requirement for students to apply biological principles to unfamiliar scenarios. Winning a medal here is a definitive academic honor for students aiming for medical or research careers.",Two 45-minute multiple-choice exams taken under proctored conditions.,Students in UK secondary education (Year 12-13).,1. Schools register through the Royal Society of Biology. 2. Pay the individual entry fee. 3. Take the exam in January.,biology|UK|RSB|olympiad|science,https://www.ukbiologyolympiad.org/,https://www.ukbiologyolympiad.org/
British Physics Olympiad (BPhO),Math,In-Person,UK,National,2026-01-01,"The BPhO is the premier physics competition in the UK, hosted by the University of Oxford to challenge the country's most capable young physicists. It is prestigious for its highly theoretical problems that require a deep understanding of physics intuition and mathematical rigor. Medals in the BPhO are a primary indicator for admission to elite engineering and physics programs worldwide.",Round 1 (Question paper) -> Round 2 (Training and selection camp).,Students in UK secondary education (Year 13).,1. Register through the school's physics department. 2. Sit for the three-hour Round 1 exam. 3. Top performers are invited to Oxford for Round 2.,physics|Oxford|UK|olympiad|theory,https://www.bpho.org.uk/,https://www.bpho.org.uk/
Cambridge Chemistry Challenge (C3L6),Science,In-Person,UK,National,2026-06-01,"The C3L6 is a prestigious chemistry competition designed by the University of Cambridge to push Year 12 students beyond their standard curriculum. It is interesting for its 'Roentgenium' award level, where top winners are invited to a residential camp at Cambridge. The problems focus on the application of chemical principles to complex, real-world research data.",One 90-minute written exam administered at the school.,Students in UK Year 12 (or equivalent).,1. School registers via the C3L6 portal. 2. Administer the exam in June. 3. Top scorers are selected for the university training camp.,chemistry|Cambridge|C3L6|UK|advanced,https://www.c3l6.org/,https://www.c3l6.org/
International Chemistry Quiz (ICQ),Science,Online,Global,International,2026-05-01,"The ICQ, organized by the Royal Australian Chemical Institute (RACI), is one of the world's largest standardized chemistry competitions. It is prestigious for its consistent global standards across over 20 participating countries, offering students a true international benchmark. The quiz focuses on chemical theory and practical laboratory concepts in a multiple-choice format.",One 60-minute multiple-choice exam with 30 questions.,Secondary students globally (Grades 7-12).,1. Register through a national coordinator or RACI. 2. Take the exam online or in-person. 3. Receive certificates of achievement based on global percentile.,chemistry|RACI|Australia|quiz|global,https://www.raci.org.au/,https://www.raci.org.au/
UK Chemistry Olympiad,Science,In-Person,UK,National,2026-01-01,"The UK Chemistry Olympiad is the most prestigious chemistry competition for secondary students in the United Kingdom, run by the Royal Society of Chemistry. It is interesting for its incredibly difficult questions that bridge the gap between A-levels and university-level chemistry. The results are a primary factor in selecting the UK team for the international stage.",Round 1 (Written Exam) -> Round 2 (Residential weekend at a university) -> IChO Selection.,Students in UK secondary education (Year 13).,1. Schools register via the RSC website in autumn. 2. Take the Round 1 written exam in January. 3. Top qualifiers advance to the training camp.,chemistry|UK|RSC|olympiad|elite,https://edu.rsc.org/enrichment/chemistry-olympiad,https://edu.rsc.org/enrichment/chemistry-olympiad
